invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-28792300009,2020-07-17,5811,CASEY'S GENERAL STORE #2629 / RIVERSIDE,200 E 1ST ST,RIVERSIDE,52327,POINT(-91.578314 41.480006),92,WASHINGTON,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,50,7.35,11.03,4,44.12,0.2,0.05
INV-37108000003,2021-06-02,5390,PG MINI MART,800 HAMILTON BLVD.,SIOUX CITY,51104.0,,97,WOODBURY,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,50,7.35,11.03,4,44.12,0.2,0.05
INV-57647600001,2023-04-18,4457,KUM & GO #422 / IOWA CITY,731 S RIVERSIDE DR,IOWA CITY,52246.0,POINT(-91.540689148 41.65060836),,JOHNSON,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,50,9.95,14.93,4,59.72,0.2,0.05
INV-35475600021,2021-03-31,2711,HY-VEE GAS #2 / OTTUMWA,2457 N COURT ST,OTTUMWA,52501.0,POINT(-92.408157 41.050459),90,WAPELLO,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,50,7.35,11.03,4,44.12,0.2,0.05
INV-37999900026,2021-07-02,5057,KUM & GO #535 / DES MOINES,4960 E BROADWAY AVE,DES MOINES,50317.0,,77,POLK,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,50,7.35,11.03,4,44.12,0.2,0.05
INV-61352000001,2023-08-17,4446,QUIK TRIP #513 / URBANDALE,4600 MERLE HAY ROAD,URBANDALE,50322,POINT(-93.698720007 41.644494264),,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,50,9.95,14.93,4,59.72,0.2,0.05
INV-21758800014,2019-09-06,4476,BUCKY'S EXPRESS #16 / COUNCIL BLUFFS,15 NORTH 16TH ST,COUNCIL BLUFFS,51501,POINT(-95.867464 41.262352),78,POTTAWATTAMIE,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,50,7.35,11.03,4,44.12,0.2,0.05
INV-30381300036,2020-09-21,4653,CASEY'S GENERAL STORE #1617 / JEFFERSON,508 N ELM,JEFFERSON,50129.0,POINT(-94.377422 42.02014),37,GREENE,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,50,7.35,11.03,4,44.12,0.2,0.05
INV-21606900006,2019-08-30,5520,RIVERSIDE TRAVEL MART,3070 HWY 22 E,RIVERSIDE,52327,POINT(-91.546885 41.488516),92,WASHINGTON,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,50,7.35,11.03,4,44.12,0.2,0.05
INV-43253500016,2021-12-24,6133,LINCOLN FARM AND HOME 3 / PACIFIC JUNCTION,18880 HYLAND AVE,PACIFIC JUNCTION,51561.0,,65,MILLS,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,50,7.35,11.03,4,44.12,0.2,0.05
INV-36730400024,2021-05-18,5622,CASEY'S GENERAL STORE #3044 / SHELDON,504 2ND AVE,SHELDON,51201.0,POINT(-95.854417 43.185396),71,O'BRIEN,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,50,7.35,11.03,4,44.12,0.2,0.05
INV-54913600005,2023-01-13,4378,KUM & GO #1202 / WAUKEE,650 W HICKMAN RD,WAUKEE,50263.0,POINT(-93.88651 41.61493),,DALLAS,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,50,9.95,14.93,4,59.72,0.2,0.05
INV-21764500030,2019-09-06,4805,LIQUOR TOBACCO & GROCERY / FORT DODGE,902 1ST AVE N,FORT DODGE,50501,POINT(-94.186138 42.506332),94,WEBSTER,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,50,7.35,11.03,4,44.12,0.2,0.05
INV-24148800050,2019-12-24,3928,SMOKIN' JOE'S #12 TOBACCO AND LIQUOR OUTLET,465 HWY 965 UNIT G,NORTH LIBERTY,52317.0,POINT(-91.60759 41.739524),52,JOHNSON,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10804,CROWN ROYAL REGAL APPLE,44,200,4.72,7.08,1,7.08,0.2,0.05
INV-56241500008,2023-02-28,5366,LIQUOR BEER & TOBACCO OUTLET,1908 CLARK ST,CHARLES CITY,50616.0,POINT(-92.66189 43.05913),,FLOYD,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10804,CROWN ROYAL REGAL APPLE,44,200,5.0,7.5,1,7.5,0.2,0.05
INV-17739000047,2019-02-25,4945,OSAGE LIQUORS,"508, MAIN ST",OSAGE,50461,POINT(-92.814028 43.284116),66,MITCHELL,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10804,CROWN ROYAL REGAL APPLE,44,200,4.72,7.08,1,7.08,0.2,0.05
INV-01613300025,2016-11-15,5176,SMOKIN' JOE'S #15 TOBACCO & LIQUOR O,,,,,,,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10804,CROWN ROYAL REGAL APPLE,44,200,4.72,7.08,1,7.08,0.2,0.05
INV-06956000035,2017-08-29,5176,SMOKIN' JOE'S #15 TOBACCO & LIQUOR O,,,,,,,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10804,CROWN ROYAL REGAL APPLE,44,200,4.72,7.08,1,7.08,0.2,0.05
INV-32583000026,2020-12-09,5762,CASEY'S GENERAL STORE #1329 / ESTHERVILLE,8 CENTRAL AVE,ESTHERVILLE,51334.0,POINT(-94.84356 43.401909),32,EMMET,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,11290,CROWN ROYAL MINI,10,50,7.35,11.03,4,44.12,0.2,0.05
INV-32681200017,2020-12-14,4569,CAR-GO-EXPRESS / SUTHERLAND,202 WEST SOUTHERN ST,SUTHERLAND,51058.0,POINT(-95.499742 42.968051),71,O'BRIEN,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,11290,CROWN ROYAL MINI,10,50,7.35,11.03,4,44.12,0.2,0.05
INV-28391500022,2020-06-30,4565,KUM & GO #228 / SIOUX CITY,1925 S LAKEPORT ST,SIOUX CITY,51106.0,POINT(-96.346548 42.469008),97,WOODBURY,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,11290,CROWN ROYAL MINI,10,50,7.35,11.03,4,44.12,0.2,0.05
INV-41782900024,2021-11-09,5989,CASEY'S GENERAL STORE #1134 / GRINNELL,1718 6TH AVE,GRINNELL,50112.0,POINT(-92.710948 41.746159),79,POWESHIEK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11290,CROWN ROYAL MINI,10,50,7.35,11.03,4,44.12,0.2,0.05
INV-56538200010,2023-03-09,2708,HY-VEE FAST AND FRESH - WINDSOR HEIGHTS,7220 HICKMAN RD,WINDSOR HEIGHTS,50324.0,POINT(-93.7175 41.61466),,POLK,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11290,CROWN ROYAL MINI,10,50,9.95,14.93,4,59.72,0.2,0.05
INV-35632400096,2021-04-07,2605,HY-VEE DRUGSTORE #5 / CEDAR RAPIDS,2001 BLAIRS FERRY ROAD NE,CEDAR RAPIDS,52402.0,POINT(-91.668919 42.034799),57,LINN,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,11290,CROWN ROYAL MINI,10,50,7.35,11.03,4,44.12,0.2,0.05
INV-41844500022,2021-11-10,4501,KUM & GO #134 / FAIRFIELD,1601 W BURLINGTON AVE,FAIRFIELD,52556.0,POINT(-91.981752 41.006447),51,JEFFERSON,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11290,CROWN ROYAL MINI,10,50,7.35,11.03,4,44.12,0.2,0.05
INV-34032600022,2021-02-04,5465,KUM & GO #1215 / AMES,4506 LINCOLN WAY,AMES,50010.0,,85,STORY,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,11290,CROWN ROYAL MINI,10,50,7.35,11.03,4,44.12,0.2,0.05
INV-31279700024,2020-10-22,4599,QUIK TRIP #500 / HUBBELL DM,3700 HUBBELL AVE,DES MOINES,50317.0,POINT(-93.544906 41.629026),77,POLK,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,11290,CROWN ROYAL MINI,10,50,7.35,11.03,4,44.12,0.2,0.05
S16629600026,2014-01-02,3920,SMOKIN' JOE'S #11 TOBACCO AND LIQUOR,1606 CAMANCHE AVE,CLINTON,52732,POINT(-90.204748 41.827845),23,CLINTON,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11293,CROWN ROYAL CANADIAN WHISKY,48,200,4.71,7.07,1,7.07,0.2,0.05
S03830500081,2012-01-31,4312,I-80 LIQUOR / COUNCIL BLUFFS,2411 S 24TH ST #1,COUNCIL BLUFFS,51501,POINT(-95.8792 41.238092),78,POTTAWATTAMIE,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11293,CROWN ROYAL CANADIAN WHISKY,48,200,4.47,6.7,1,6.7,0.2,0.05
S20745500061,2014-08-19,3443,SUPER SAVER IV,1141 N BROADWAY,COUNCIL BLUFFS,51503,POINT(-95.836515 41.270824),78,POTTAWATTAMIE,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11293,CROWN ROYAL CANADIAN WHISKY,48,200,4.83,7.25,1,7.25,0.2,0.05
INV-45121500026,2022-07-21,2538,HY-VEE FOOD STORE #3 / WATERLOO,1422 FLAMMANG DR,WATERLOO,50702.0,POINT(-92.327918 42.459938),,BLACK HAWK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11299,CROWN ROYAL,44,200,5.0,7.5,1,7.5,0.2,0.05
S32016500053,2016-04-27,3890,SMOKIN' JOE'S #7 TOBACCO AND LIQUOR,904  1ST AVE NW,CEDAR RAPIDS,52405,POINT(-91.683669 41.972773),57,LINN,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11299,CROWN ROYAL,44,200,4.72,7.08,1,7.08,0.2,0.05
S23523500050,2015-01-15,4889,FAST TRIP / DES MOINES,1516 SE  1ST ST,DES MOINES,50315,POINT(-93.613469 41.575929),77,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11299,CROWN ROYAL,44,200,4.72,7.08,1,7.08,0.2,0.05
S29534200018,2015-12-09,2594,HY-VEE FOOD STORE / SIOUX CITY,4500 SERGEANT ROAD,SIOUX CITY,51106,POINT(-96.346969 42.447396),97,WOODBURY,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11299,CROWN ROYAL,44,200,4.72,7.08,1,7.08,0.2,0.05
S31351200070,2016-03-21,4312,I-80 LIQUOR / COUNCIL BLUFFS,2411 S 24TH ST #1,COUNCIL BLUFFS,51501,POINT(-95.8792 41.238092),78,POTTAWATTAMIE,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11299,CROWN ROYAL,44,200,4.72,7.08,1,7.08,0.2,0.05
INV-23352000016,2019-11-20,4634,KWIK SHOP #565 / CEDAR RAPIDS,"4201, CENTER POINT RD NE",CEDAR RAPIDS,52402.0,POINT(-91.665659 42.021931),57,LINN,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,11299,CROWN ROYAL,44,200,5.0,7.5,1,7.5,0.2,0.05
S28656600046,2015-10-26,2507,HY-VEE FOOD STORE #1 / BURLINGTON,939 ANGULAR,BURLINGTON,52601,POINT(-91.110752 40.801889),29,DES MOINES,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11299,CROWN ROYAL,44,200,4.72,7.08,1,7.08,0.2,0.05
INV-54969900026,2023-01-16,5436,SMOKIN' JOE'S #8 TOBACCO AND LIQUOR OUTLET,90 W. KIMBERLY RD STE 55-56,DAVENPORT,52806.0,POINT(-90.57278 41.56035),,SCOTT,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11299,CROWN ROYAL,44,200,5.0,7.5,1,7.5,0.2,0.05
INV-45335500031,2022-07-28,4893,CASEY'S GENERAL STORE #3098 / WDM,105 GRAND AVE,WEST DES MOINES,50265.0,POINT(-93.703789 41.582697),,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,4,51.0,0.2,0.05
INV-32635900037,2020-12-11,2551,HY-VEE FOOD STORE / CHARITON,2001 WEST COURT,CHARITON,50049.0,,59,LUCAS,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,4,51.0,0.2,0.05
INV-43544000016,2022-01-05,4636,KWIK SHOP #561 / CEDAR RAPIDS,2904 CENTER POINT RD NE,CEDAR RAPIDS,52402.0,POINT(-91.662822 42.007193),57,LINN,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,4,51.0,0.2,0.05
INV-52629800020,2022-11-01,2665,HY-VEE / WAUKEE,1005 E HICKMAN RD,WAUKEE,50263.0,POINT(-93.85433 41.61507),,DALLAS,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,4,51.0,0.2,0.05
INV-47331300006,2022-05-11,5750,CASEY'S GENERAL STORE #2920 / ANKENY,1010 SE NATIONAL DR,ANKENY,50021.0,POINT(-93.582179 41.704864),77,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,4,51.0,0.2,0.05
INV-51380000033,2022-09-20,2650,HY-VEE WINE AND SPIRITS / HARLAN,1808 23RD ST,HARLAN,51537.0,POINT(-95.339881 41.650658),,SHELBY,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,4,51.0,0.2,0.05
INV-44013200071,2022-01-21,5915,THE HUT / COUNCIL BLUFFS,1925 W BROADWAY,COUNCIL BLUFFS,51501.0,POINT(-95.873109 41.261866),78,POTTAWATTAMIE,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,4,51.0,0.2,0.05
INV-43281300015,2021-12-24,2560,HY-VEE FOOD STORE / MARION,3600 BUSINESS HWY 151 EAST,MARION,52302.0,,57,LINN,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,4,51.0,0.2,0.05
INV-21764500032,2019-09-06,4805,LIQUOR TOBACCO & GROCERY / FORT DODGE,902 1ST AVE N,FORT DODGE,50501,POINT(-94.186138 42.506332),94,WEBSTER,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11771,BLACK VELVET MINI,10,50,6.8,10.2,4,40.8,0.2,0.05
INV-37843600024,2021-06-25,4514,CASEY'S GENERAL STORE #2813 / FORT DODGE,1230 3RD AVE NW,FORT DODGE,50501.0,POINT(-94.218425 42.515441),94,WEBSTER,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,4,51.0,0.2,0.05
INV-57119100003,2023-03-31,6089,CIRCLE K #22654124 / PERRY,1115 HWY 141,PERRY,50220.0,POINT(-94.10569 41.83025),,DALLAS,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11773,BLACK VELVET,48,200,1.75,2.63,1,2.63,0.2,0.05
S08200400086,2012-10-09,4312,I-80 LIQUOR / COUNCIL BLUFFS,2411 S 24TH ST #1,COUNCIL BLUFFS,51501,POINT(-95.8792 41.238092),78,POTTAWATTAMIE,1012100.0,CANADIAN WHISKIES,115,"CONSTELLATION WINE COMPANY, INC.",11773,BLACK VELVET,48,200,1.56,2.34,1,2.34,0.2,0.05
S04292100040,2012-02-28,3482,KICK THE CAN,525 N MAPLE ST,CARROLL,51401,POINT(-94.861667 42.063255),14,CARROLL,1012100.0,CANADIAN WHISKIES,115,"CONSTELLATION WINE COMPANY, INC.",11773,BLACK VELVET,48,200,1.56,2.34,1,2.34,0.2,0.05
S32612600112,2016-06-01,2548,HY-VEE FOOD STORE / ALTOONA,100 8TH STREET SW,ALTOONA,50009,POINT(-93.465301 41.644041),77,POLK,1012100.0,CANADIAN WHISKIES,55,SAZERAC NORTH AMERICA,12409,CANADIAN LTD,48,100,0.89,1.34,2,2.68,0.2,0.05
INV-37835800015,2021-06-25,4942,EAST VILLAGE PANTRY,333 E GRAND AVE,DES MOINES,50309.0,POINT(-93.613492 41.590253),77,POLK,1012400.0,IRISH WHISKIES,370,PERNOD RICARD USA,15621,JAMESON MINI,12,50,9.9,14.85,4,59.4,0.2,0.05
INV-34983000002,2021-03-12,4180,SMOKIN' JOE'S #10 TOBACCO AND LIQUOR OUTLET,480 7TH AVE,MARION,52302.0,POINT(-91.605094 42.033366),57,LINN,1012400.0,IRISH WHISKIES,370.0,PERNOD RICARD USA,15622,JAMESON,24,200,3.75,5.63,1,5.63,0.2,0.05
INV-46927900034,2022-04-28,4428,KUM & GO #200 / AMES,4510 MORTENSEN RD,AMES,50014,POINT(-93.679384 42.0121),85,STORY,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,7.0,10.5,4,42.0,0.2,0.05
INV-46099800010,2022-04-01,6085,CIRCLE K #22654122 / BOONE,1704 S STORY ST,BOONE,50036,POINT(-93.879597 42.037102),8,BOONE,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,7.0,10.5,4,42.0,0.2,0.05
INV-56531800025,2023-03-09,5057,KUM & GO #535 / DES MOINES,4960 E BROADWAY AVE,DES MOINES,50317.0,POINT(-93.51571 41.64427),,POLK,1011200,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,7.0,10.5,4,42.0,0.2,0.05
INV-39482100126,2021-08-24,2637,HY-VEE #5 / DAVENPORT,2351 W LOCUST,DAVENPORT,52804.0,POINT(-90.611972 41.538207),82,SCOTT,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,5.4,8.1,4,32.4,0.2,0.05
INV-57197800007,2023-04-03,5190,GUPPY'S ON THE GO / WALFORD,200 HWY 151 E,WALFORD,52351.0,POINT(-91.8301760269999 41.881245017),,LINN,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,7.0,10.5,4,42.0,0.2,0.05
INV-43003200032,2021-12-17,2524,HY-VEE FOOD STORE / DUBUQUE,3500 DODGE ST,DUBUQUE,52001.0,,31,DUBUQUE,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,7.0,10.5,4,42.0,0.2,0.05
INV-43287500030,2021-12-27,5573,CASEY'S GENERAL STORE #2768 / CEDAR RAPIDS,1201 1ST AVE SE,CEDAR RAPIDS,52402.0,POINT(-91.657579 41.98509),57,LINN,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,7.0,10.5,4,42.0,0.2,0.05
INV-35692500015,2021-04-09,5821,CASEY'S GENERAL STORE #3645 / LONE TREE,302 N DEVOE ST,LONETREE,52755.0,POINT(-91.425665 41.490723),52,JOHNSON,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,5.4,8.1,4,32.4,0.2,0.05
INV-29817000034,2020-08-28,5041,CASEY'S GENERAL STORE #3309 / MONTEZ,106 N FRONT ST,MONTEZUMA,50171.0,POINT(-92.52723 41.58587),79,POWESHIEK,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,5.4,8.1,4,32.4,0.2,0.05
INV-38305300038,2021-07-13,3928,SMOKIN' JOE'S #12 TOBACCO AND LIQUOR OUTLET,465 HWY 965 UNIT G,NORTH LIBERTY,52317.0,POINT(-91.60759 41.739524),52,JOHNSON,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,5.4,8.1,4,32.4,0.2,0.05
INV-34048600009,2021-02-04,4446,QUIK TRIP #513 / URBANDALE,4600 MERLE HAY RD,URBANDALE,50322.0,POINT(-93.697999 41.644296),77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,5.4,8.1,4,32.4,0.2,0.05
INV-63765800005,2023-10-30,4921,MARKET EXPRESS,5340 16TH AVE SW,CEDAR RAPIDS,52404.0,POINT(-91.739775358 41.964508664),,LINN,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,7.0,10.5,4,42.0,0.2,0.05
INV-50225200024,2022-08-10,5353,NEW STAR / PELLA,977 198TH PL.,PELLA,50219.0,POINT(-92.953558 41.381034),,MARION,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,7.0,10.5,4,42.0,0.2,0.05
INV-37804600009,2021-06-25,4411,KUM & GO #95 / DE SOTO,1203 GUTHRIE ST,DE SOTO,50069.0,POINT(-94.012641 41.538192),25,DALLAS,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,5.4,8.1,4,32.4,0.2,0.05
INV-36845100002,2021-05-21,5576,CASEY'S GENERAL STORE #3449 / WAPELLO,13410 IA HWY 78,WAPELLO,52653.0,POINT(-91.185031 41.087806),58,LOUISA,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19061,JIM BEAM MINI,12,50,5.4,8.1,4,32.4,0.2,0.05
S33435000014,2016-07-18,2618,HY-VEE DRUGSTORE #6 / CEDAR RAPIDS,505 BOYSON RD NE,CEDAR RAPIDS,52402,POINT(-91.63913 42.04671),57,LINN,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19063,JIM BEAM,48,200,3.41,5.12,1,5.12,0.2,0.05
S15712400065,2013-11-13,4273,SMOKIN' JOE'S #4 TOBACCO AND LIQUOR,2800 E UNIVERSITY AVE,DES MOINES,50317,POINT(-93.562106 41.600564),77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19063,JIM BEAM,48,200,3.1,4.65,1,4.65,0.2,0.05
S04314600029,2012-02-28,3700,AVOCA LIQUOR,158 SOUTH ELM,AVOCA,51521,POINT(-95.339412 41.476306),78,POTTAWATTAMIE,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19063,JIM BEAM,48,200,2.85,4.28,1,4.28,0.2,0.05
INV-27017100018,2020-05-05,3917,SMOKIN' JOE'S #2 TOBACCO AND LIQUOR OUTLET,1606 W LOCUST ST,DAVENPORT,52804.0,POINT(-90.599037 41.538254),82,SCOTT,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19063,JIM BEAM,48,200,3.5,5.25,1,5.25,0.2,0.05
INV-27332800114,2020-05-19,5423,STAMMER LIQUOR CORP,615 2ND AVE,SHELDON,51201.0,POINT(-95.854899 43.184242),71,O'BRIEN,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19063,JIM BEAM,48,200,3.5,5.25,1,5.25,0.2,0.05
INV-12814400021,2018-06-21,2561,HY-VEE FOOD STORE / FLEUR / DSM,4605 FLEUR DRIVE,DES MOINES,50321,POINT(-93.644943 41.542748),77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,JIM BEAM BRANDS,19063,JIM BEAM,48,200,3.5,5.25,1,5.25,0.2,0.05
S05750300047,2012-05-29,4109,BEST TRIP,1516 SE 1ST,DES MOINES,50315,POINT(-93.613469 41.575929),77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19063,JIM BEAM,48,200,2.85,4.28,1,4.28,0.2,0.05
INV-48171200008,2022-06-08,3917,SMOKIN' JOE'S #2 TOBACCO AND LIQUOR OUTLET,1606 W LOCUST ST,DAVENPORT,52804,POINT(-90.599037 41.538254),82,SCOTT,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19063,JIM BEAM,48,200,3.63,5.45,1,5.45,0.2,0.05
S25699700019,2015-05-18,5142,SMOKIN' JOE'S #13 TOBACCO & LIQUOR O,"2315, MT VERNON RD SE",CEDAR RAPIDS,52303,,57,LINN,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19063,JIM BEAM,48,200,3.41,5.12,1,5.12,0.2,0.05
INV-21243000010,2019-08-14,3443,SUPER SAVER IV,1141 N BROADWAY,COUNCIL BLUFFS,51503,POINT(-95.836515 41.270824),78,POTTAWATTAMIE,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19063,JIM BEAM,48,200,3.5,5.25,1,5.25,0.2,0.05
S10065500014,2013-01-16,4424,CIRCLE K #6601 / BURLINGTON,1012 MAPLE ST,BURLINGTON,52601,POINT(-91.112268 40.80456),29,DES MOINES,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19063,JIM BEAM,48,200,3.09,4.64,1,4.64,0.2,0.05
S12701300043,2013-06-10,4889,FAST TRIP / DES MOINES,1516 SE  1ST ST,DES MOINES,50315,POINT(-93.613469 41.575929),77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19063,JIM BEAM,48,200,3.09,4.64,1,4.64,0.2,0.05
S29942500048,2015-12-29,4273,SMOKIN' JOE'S #4 TOBACCO AND LIQUOR,2800 E UNIVERSITY AVE,DES MOINES,50317,POINT(-93.562106 41.600564),77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19063,JIM BEAM,48,200,3.41,5.12,1,5.12,0.2,0.05
INV-20004500038,2019-06-14,2524,HY-VEE FOOD STORE / DUBUQUE,3500 DODGE ST,DUBUQUE,52001,,31,DUBUQUE,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19063,JIM BEAM,48,200,3.5,5.25,1,5.25,0.2,0.05
S13547600010,2013-07-24,3918,SMOKIN' JOE'S #1 TOBACCO AND LIQUOR,3120 ROCKINGHAM RD,DAVENPORT,52802,POINT(-90.621541 41.510082),82,SCOTT,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19063,JIM BEAM,48,200,3.09,4.64,1,4.64,0.2,0.05
